ds_idx,true,pred_clean,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean
92,8,8,0.5726774561218917,0.34724281660801354,0.21763014086172916
93,6,6,0.3310894262045623,0.5945621706545353,0.28746781197260135
94,4,4,0.25915189247753007,0.2033075794461183,0.5891691890177753
95,6,6,0.14153156059073807,0.5405820934218355,0.04579331223512781
96,6,6,0.2860935919714394,0.30799689502455285,0.04990103473210184
97,0,0,0.14441227600618733,0.10696126507973529,0.5000439667404861
98,0,0,0.46656184642342846,0.6203800317132846,0.9129769846796989
99,7,7,0.1780497217183438,0.09840283256233351,0.1752508353631129
100,4,4,0.21070397452858747,0.1425015572836856,0.12275067992202367
101,5,5,0.07719998427346579,0.04005040679222701,0.10002872614768421
102,6,6,0.2197427507095199,0.27934615732237955,0.2696973356946899
103,3,3,0.3266471432405524,0.4583100593794371,0.39692443841486236
104,1,1,0.23512176205222204,0.0999707464004132,0.21386239215353275
105,1,1,0.32318343548540723,0.5142607228714041,0.16059142244084798
106,3,3,0.062317265696401586,0.23984206484165047,0.1082662473892924
107,6,6,0.4156557491049171,0.6183597260729585,0.1822640901133582
108,8,8,0.43834343969356265,0.40683472177242946,0.2572799672305337
109,7,7,0.1563146589702228,0.03837974876946717,0.11195092132311402
110,4,4,0.25567555145680676,0.3416490390751278,0.1955614356986189
111,0,0,0.7002817895729095,0.6669071264564992,0.7491960325278342
112,6,6,0.14344050969011732,0.2775359851540998,0.09223647005677549
113,2,2,0.5224084998248146,0.2665450682368828,0.24483330983202903
114,1,1,0.28418062879645734,0.09549702174172127,0.14491907370847917
115,3,3,0.2288089871464763,0.5552147302980303,0.29418390849023135
116,0,0,0.36283522928133605,0.6512366391718387,0.7384980565868319
117,4,4,0.1819962558161933,0.20623804300885243,0.09667536042934445
118,2,6,0.0360569028671307,0.38818002440020805,0.07140298334552425
119,7,7,0.22781583838950611,0.09206684124346792,0.2868412433590948
120,8,8,0.7990622747689486,0.10732839900744011,0.14309183741966083
121,3,3,0.4951958677731454,0.3161811701371335,0.13929920066366322
122,1,1,0.3992489294221741,0.17460746209399078,0.14599240669531144
123,2,2,0.6943174962012564,0.24695491441816558,0.6850127559737302
124,8,8,0.47503603931982075,0.042192850766628,0.06014445917221281
125,0,2,0.17370802542427555,0.17216614952485546,0.17377624648952408
126,8,8,0.8068004786968231,0.09387951855488834,0.3129981998499716
127,3,3,0.3496601947583258,0.31085799261927605,0.25776672235297154
128,5,3,0.11494925441511442,0.4914727635215968,0.10691516019981605
129,2,2,0.5032498508691788,0.19557495407698297,0.0889224955465579
130,4,4,0.10466461933465328,0.17822267244846446,0.1660643102086283
131,1,1,0.3338911807921249,0.48317535942219364,0.33297086873790255
132,8,8,0.3306008926592767,0.11610693555907119,0.32331323722944494
133,9,9,0.6481854161870615,0.335245736458728,0.28910002706807064
134,1,1,0.1010596333704598,0.2998105593695073,0.12728798441080472
135,2,2,0.7029763865750284,0.12817104620335154,0.5960549021838234
136,9,9,0.3849601732545125,0.18288935689051872,0.3372217784687564
137,7,7,0.17388277490099427,0.28065511485992833,0.16617993047111668
138,2,2,0.755946882639546,0.08805829005286796,0.8718200482253451
139,9,9,0.03570899830751273,0.027642934546975088,0.02038225702961558
140,6,6,0.3117102222429822,0.3819952768040822,0.14219006595594694
141,5,5,0.37693558318860604,0.10163961435573583,0.37941518393581647
142,6,6,0.2801417892042082,0.3826736209302908,0.14295345448978197
143,3,3,0.05004613154791854,0.22562059636838966,0.08762085559174014
144,8,8,0.758088193635922,0.18795954648658153,0.12210778172811845
145,7,7,0.10447345495922493,0.039757729663142526,0.028231796097753656
146,6,6,0.11720055774640059,0.617805123242306,0.20488599368109134
147,2,5,0.24389146736910733,0.05162282938649694,0.024579957860288455
148,5,5,0.08046499801093887,0.0740756313019176,0.10011004208442956
149,2,2,0.8434186110505836,0.321467314651818,0.22914798029232772
150,8,8,0.34245163148734725,0.0938496684153506,0.24297385109598504
151,9,9,0.056176076835981796,0.09853720143073587,0.12577049568823218
152,6,6,0.07890231794881401,0.33619889501624134,0.04540992322099555
153,0,0,0.6368642055429518,0.3007414771401273,0.6965592586318963
154,0,0,0.4444483758416026,0.508445993438363,0.8685880899429322
155,5,5,0.26933571607805784,0.03140553010211988,0.16306513629115219
156,2,2,0.46489519253955225,0.23299574904085602,0.5065158354002052
157,9,9,0.2589738055161434,0.09636277699053154,0.11421658742010551
158,5,3,0.4790922287385911,0.4389821086660958,0.041191509353575385
159,4,4,0.16609472176642157,0.29834349495358775,0.24184696703014194
160,2,2,0.6384164738585241,0.13636801585358851,0.3470451078028418
161,1,1,0.16762020226451568,0.35752904253531603,0.06087554832487286
162,6,6,0.1976222588141354,0.5219963204772283,0.09152141948861753
163,6,6,0.3887585354270414,0.6068644789978862,0.2747525059297914
164,8,8,0.042933491417716144,0.06396989511849824,0.08149134634470272
165,4,4,0.34289546100189916,0.08090641009621322,0.10873015354218865
166,8,8,0.537442742107669,0.030250769774784206,0.15002196116640792
167,4,4,0.20891389859898485,0.2176528924016111,0.16919301281741353
168,5,5,0.11215078872046433,0.15702482788948371,0.11378908097030943
169,0,8,0.17166248569265008,0.032841557741812716,0.035479695467620344
170,9,9,0.23231316872988833,0.15355608602335455,0.12927619107265403
171,9,0,0.7423571947962047,0.3198152504693553,0.8361488826572895
172,9,9,0.3546822497388348,0.07671804963829346,0.3277845230344611
173,8,8,0.24058197591803035,0.2017051935563359,0.06670891968149135
174,9,9,0.5164543581191537,0.10424098287585366,0.12836753860347871
175,9,9,0.10343048032955267,0.2373876284771882,0.26632709513470443
176,3,3,0.15991917584615295,0.4847852984414203,0.3952138881140854
177,7,7,0.3641407900038757,0.23542562658767568,0.25847048524364025
178,5,2,0.19807410740759226,0.1096275141098886,0.22841907558481572
179,0,0,0.42033845479600135,0.4582801068423578,0.8796943321824074
180,0,0,0.2953808300124364,0.5894992660381831,0.6434507471509276
181,5,5,0.1753608708215779,0.08090922978840921,0.30739972456194664
182,2,2,0.7539114854240326,0.614138551453621,0.6892668999906164
183,2,3,0.27605037372559316,0.2638219942571596,0.031119133985794165
184,3,3,0.08036548926193064,0.16577031201122738,0.10021599555821013
185,8,8,0.7365015890449287,0.5529313563602045,0.5046732827326196
186,6,6,0.03945202065578996,0.6134312381967904,0.11312756896199973
187,3,3,0.11556678458146052,0.30186333302408463,0.28782283499203914
188,4,2,0.6303344442509115,0.11643962509697303,0.4145376030181069
189,0,0,0.22664286284707486,0.24360198587246487,0.4695334855467081
190,5,5,0.22447936909829877,0.10630124500667076,0.1397915046271311
191,8,8,0.4176406487822534,0.15094083883905116,0.2906114658049774
192,0,0,0.11957362908287902,0.3714551193320404,0.6286491766571999
193,1,1,0.09983600135892631,0.03569976598228095,0.08211791353160153
194,7,7,0.07741736073294304,0.09832173154900375,0.08184019741675003
195,2,2,0.17960631739115343,0.1623028851216077,0.29592420364351424
196,8,8,0.6737946603447198,0.1616380334060523,0.1937124310774266
197,8,8,0.6083745297044515,0.06298316694151254,0.21419980634527744
198,7,7,0.066434045668575,0.025655833208550402,0.25208740923390005
199,8,8,0.33624177272431555,0.1578628482369822,0.3624514893235755
