image_id,ds_idx,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device,guide_temp,guide_mutate_prob,rise_masks,rise_s,rise_p,rise_batch
35,37,1,1,0.703701,untargeted,,1,9,0.949321,10,4400,14,20,0.000000,0.558153,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
36,38,9,9,0.999964,untargeted,,0,9,0.999481,50,20400,12,28,0.054653,0.000000,0.455915,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
37,39,5,5,1.000000,untargeted,,0,5,0.927310,50,20400,21,13,0.000000,0.000000,0.901377,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
38,40,4,4,0.999835,untargeted,,0,4,0.678496,50,20400,17,10,0.000000,0.000000,0.113012,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
39,41,6,6,0.999998,untargeted,,0,6,0.997423,50,20400,18,13,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
40,42,5,5,0.999742,untargeted,,0,5,0.441312,50,20400,21,16,0.662178,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
41,43,6,6,0.999999,untargeted,,0,6,0.995069,50,20400,17,10,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
42,44,0,0,1.000000,untargeted,,0,0,0.999997,50,20400,29,21,0.000000,0.101737,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
43,45,9,9,0.999995,untargeted,,0,9,0.999940,50,20400,6,18,1.000000,0.000000,0.061810,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
44,46,3,3,0.998106,untargeted,,1,2,0.459889,50,20400,16,1,1.000000,0.835179,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
45,47,9,9,0.444002,untargeted,,1,0,0.816232,0,400,9,19,0.966340,0.672689,0.433860,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
46,48,7,7,0.999804,untargeted,,0,7,0.976264,50,20400,9,7,0.479559,0.000000,0.129718,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
47,49,6,6,0.999343,untargeted,,1,2,0.966281,26,10800,16,6,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
48,50,9,9,0.999798,untargeted,,0,9,0.967366,50,20400,23,20,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
49,51,8,8,0.999995,untargeted,,0,8,0.972742,50,20400,14,27,0.825570,1.000000,0.870542,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
50,53,3,3,0.995543,untargeted,,1,5,0.956039,11,4800,9,11,0.000000,0.565012,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
51,54,8,8,0.999917,untargeted,,1,0,0.739333,50,20400,15,23,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
52,55,8,8,1.000000,untargeted,,0,8,0.978998,50,20400,10,9,0.000000,0.000000,0.808900,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
53,56,7,7,0.999991,untargeted,,0,7,0.979419,50,20400,13,14,0.000000,0.000000,0.683844,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
54,58,4,4,0.540060,untargeted,,1,3,0.951789,0,400,14,15,0.000000,0.114218,0.312251,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
55,60,7,7,0.999778,untargeted,,0,7,0.992246,50,20400,22,9,0.753800,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
56,62,6,6,0.999950,untargeted,,1,3,0.997754,5,2400,19,9,0.812248,0.280649,0.887734,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
57,63,3,3,0.955572,untargeted,,1,1,0.938993,23,9600,13,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
58,64,6,6,0.999982,untargeted,,1,2,0.934993,50,20400,13,10,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
59,65,2,2,1.000000,untargeted,,0,2,0.999821,50,20400,15,11,0.000000,0.000000,0.534961,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
60,66,1,1,0.999272,untargeted,,0,1,0.985919,50,20400,17,22,1.000000,0.561244,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
61,67,2,2,0.999307,untargeted,,0,2,0.903597,50,20400,13,8,1.000000,0.004417,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
62,68,3,3,0.944819,untargeted,,1,5,0.968794,2,1200,22,13,1.000000,0.184709,0.855957,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
63,69,7,7,0.856560,untargeted,,1,4,0.847624,50,20400,16,6,0.929793,0.849862,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
64,70,2,2,0.788694,untargeted,,1,3,0.584795,0,400,17,11,0.159926,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
65,71,6,6,0.999607,untargeted,,1,3,0.970353,6,2800,18,14,0.956143,1.000000,0.869821,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
66,72,8,8,0.999929,untargeted,,1,0,0.975241,0,400,14,24,0.000000,0.052179,0.116048,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
67,73,8,8,0.999638,untargeted,,1,0,0.963363,10,4400,21,26,1.000000,1.000000,0.911954,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
68,74,0,0,0.888362,untargeted,,1,9,0.934573,50,20400,14,26,0.749452,0.686150,0.382431,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
69,75,2,2,0.999998,untargeted,,0,2,0.999641,50,20400,16,5,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
70,76,9,9,0.999992,untargeted,,0,9,0.952486,50,20400,13,29,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
71,77,3,3,1.000000,untargeted,,0,3,0.999633,50,20400,20,14,0.000000,0.000000,0.959854,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
72,79,8,8,0.999987,untargeted,,1,0,0.815094,50,20400,18,24,0.945639,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
73,80,8,8,1.000000,untargeted,,0,8,0.955303,50,20400,18,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
74,81,1,1,0.974184,untargeted,,1,9,0.951741,8,3600,14,23,0.738981,0.764653,0.890889,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
75,82,1,1,0.999991,untargeted,,0,1,0.998066,50,20400,14,8,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
76,83,7,7,1.000000,untargeted,,0,7,0.998929,50,20400,6,11,0.000000,0.000000,0.659500,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
77,84,2,2,0.985258,untargeted,,1,5,0.939992,0,400,9,7,0.000000,0.829406,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
78,85,5,5,0.999958,untargeted,,1,7,0.757276,50,20400,15,14,1.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
79,86,2,2,0.998301,untargeted,,1,0,0.799262,50,20400,12,17,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
80,88,8,8,0.999997,untargeted,,0,8,0.998278,50,20400,21,30,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
81,89,9,9,0.999986,untargeted,,0,9,0.998766,50,20400,23,29,0.000000,0.000000,0.820740,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
82,90,0,0,0.999996,untargeted,,0,0,0.998677,50,20400,17,22,1.000000,1.000000,0.546130,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
83,91,3,3,0.999998,untargeted,,0,3,0.998203,50,20400,17,17,1.000000,0.597440,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
84,92,8,8,1.000000,untargeted,,0,8,0.999837,50,20400,8,29,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
85,93,6,6,1.000000,untargeted,,0,6,0.999825,50,20400,17,1,0.000000,0.000000,0.860683,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
86,94,4,4,0.999982,untargeted,,0,4,0.633255,50,20400,17,11,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
87,95,6,6,0.661955,untargeted,,1,3,0.965175,5,2400,13,11,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
88,96,6,6,0.998848,untargeted,,0,6,0.495633,50,20400,10,13,0.000000,0.137356,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
89,97,0,0,0.919581,untargeted,,1,2,0.952946,26,10800,15,6,0.796303,0.000000,0.082054,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
90,98,0,0,0.999970,untargeted,,0,0,0.997704,50,20400,4,11,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
91,99,7,7,1.000000,untargeted,,0,7,0.987510,50,20400,12,8,0.000000,0.000000,0.589549,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
92,100,4,4,0.999995,untargeted,,0,4,0.960645,50,20400,14,14,0.000000,0.000000,0.535344,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
93,101,5,5,0.885370,untargeted,,1,4,0.948134,30,12400,21,18,0.097767,0.000000,0.248285,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
94,102,6,6,1.000000,untargeted,,0,6,0.999108,50,20400,11,15,0.072413,0.000000,0.808462,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
95,103,3,3,0.999999,untargeted,,0,3,0.998022,50,20400,6,12,0.000000,0.000000,0.656571,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
96,104,1,1,0.999978,untargeted,,0,1,0.998871,50,20400,11,5,1.000000,0.935224,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
97,105,1,1,0.999847,untargeted,,0,1,0.991157,50,20400,19,7,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
98,106,3,3,0.997186,untargeted,,1,6,0.680313,50,20400,15,7,0.000000,0.000000,0.699731,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
99,107,6,6,1.000000,untargeted,,0,6,0.999992,50,20400,7,6,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
100,108,8,8,0.998883,untargeted,,0,8,0.912067,50,20400,21,15,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
101,109,7,7,1.000000,untargeted,,0,7,0.976336,50,20400,18,16,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
102,110,4,4,0.999793,untargeted,,1,5,0.718343,50,20400,23,12,0.260722,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
103,111,0,0,0.999937,untargeted,,0,0,0.906892,50,20400,11,13,1.000000,1.000000,0.823513,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
104,112,6,6,0.999765,untargeted,,0,6,0.827346,50,20400,24,2,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
105,113,2,2,0.999974,untargeted,,0,2,0.981232,50,20400,16,12,0.200568,0.000000,0.275480,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
106,114,1,1,0.998823,untargeted,,0,1,0.951722,50,20400,19,15,0.000000,0.028865,0.309987,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
107,115,3,3,0.999940,untargeted,,0,3,0.536297,50,20400,15,15,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
108,116,0,0,0.999998,untargeted,,0,0,0.999190,50,20400,13,17,1.000000,1.000000,0.676636,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
109,117,4,4,0.999942,untargeted,,0,4,0.969393,50,20400,7,16,0.811838,0.959220,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
110,119,7,7,0.993052,untargeted,,0,7,0.838731,50,20400,25,8,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
111,120,8,8,0.999997,untargeted,,1,0,0.877884,50,20400,7,14,0.000000,0.104634,0.881837,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
112,121,3,3,0.983711,untargeted,,1,0,0.933810,50,20400,6,13,0.415456,0.330458,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
113,122,1,1,0.998780,untargeted,,0,1,0.839052,50,20400,12,25,0.972261,0.812291,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
114,123,2,2,0.999999,untargeted,,0,2,0.999622,50,20400,18,3,0.000000,0.542150,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
115,124,8,8,0.999974,untargeted,,1,0,0.950357,21,8800,15,16,1.000000,1.000000,0.945370,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
116,126,8,8,1.000000,untargeted,,0,8,0.885135,50,20400,22,18,0.000000,0.000000,0.941065,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
117,127,3,3,0.999776,untargeted,,0,3,0.746258,50,20400,16,8,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
118,129,2,2,0.999977,untargeted,,0,2,0.619280,50,20400,11,18,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
119,130,4,4,0.999995,untargeted,,0,4,0.856026,50,20400,15,15,0.000000,0.014957,0.059499,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
120,131,1,1,0.999994,untargeted,,0,1,0.999756,50,20400,17,3,0.000000,0.000000,0.403349,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
121,132,8,8,0.999999,untargeted,,0,8,0.887576,50,20400,21,21,1.000000,1.000000,0.722216,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
122,133,9,9,0.999993,untargeted,,0,9,0.999800,50,20400,21,10,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
123,134,1,1,0.996430,untargeted,,0,1,0.675973,50,20400,11,22,0.000000,0.000000,0.820421,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
124,135,2,2,1.000000,untargeted,,0,2,0.998067,50,20400,24,15,0.000000,0.126843,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
125,136,9,9,1.000000,untargeted,,0,9,0.999992,50,20400,25,11,0.916234,0.901953,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
126,137,7,7,0.999715,untargeted,,0,7,0.900395,50,20400,10,8,0.000000,0.000000,0.386862,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
127,138,2,2,0.999988,untargeted,,0,2,0.759353,50,20400,16,13,0.000000,0.000000,0.484218,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
128,139,9,9,0.797867,untargeted,,1,1,0.871801,50,20400,13,20,0.000000,0.000000,0.888230,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
129,140,6,6,0.999765,untargeted,,1,3,0.598283,50,20400,17,13,0.000000,0.000000,0.529639,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
130,141,5,5,0.996672,untargeted,,1,2,0.578399,50,20400,10,31,1.000000,0.683404,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
131,142,6,6,0.999998,untargeted,,0,6,0.996689,50,20400,21,3,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
132,143,3,3,0.571745,untargeted,,1,5,0.989732,0,400,14,3,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
