ds_idx,true_label,pred_before,conf_before,targets,hit_mask,gens_used,queries,best_xy_rgb_per_target,adv_labels_per_target,adv_confs_per_target,pop,max_gens,F,Cr,es_target,xy_topk,xy_mutate_prob,seed,device,prior
11,9,9,1.000000,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(13,23,1.0000,1.0000,1.0000)|(22,22,1.0000,1.0000,1.0000)|(27,21,1.0000,1.0000,1.0000)|(6,14,1.0000,1.0000,1.0000)|(26,9,1.0000,1.0000,1.0000)|(22,22,1.0000,0.8830,1.0000)|(4,15,1.0000,1.0000,1.0000)|(28,8,1.0000,1.0000,1.0000)|(6,13,1.0000,1.0000,1.0000)",9|9|9|9|9|9|9|9|9,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
12,5,5,0.998660,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(19,26,0.0148,0.0000,0.0201)|(18,24,1.0000,1.0000,1.0000)|(5,16,0.0000,0.0000,0.2416)|(10,20,1.0000,1.0000,1.0000)|(12,17,1.0000,0.1256,1.0000)|(19,26,0.0000,0.0000,0.1135)|(5,27,0.0000,0.0000,0.0768)|(18,24,1.0000,0.9960,1.0000)|(25,12,0.0000,0.0000,0.1532)",5|5|5|5|5|5|5|5|5,0.908558|0.929125|0.998888|0.997501|0.999374|0.904274|0.995034|0.929272|0.999258,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
13,7,7,0.999997,0|1|2|3|4|5|6|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(30,2,1.0000,1.0000,0.8661)|(4,19,1.0000,1.0000,0.7940)|(19,22,1.0000,0.9122,0.4376)|(18,23,1.0000,1.0000,0.8663)|(18,23,1.0000,1.0000,0.5128)|(7,25,1.0000,1.0000,0.8462)|(18,23,1.0000,1.0000,0.7092)|(4,19,1.0000,0.7635,0.2668)|(6,27,1.0000,1.0000,0.8550)",7|7|7|7|7|7|7|7|7,1.000000|0.999984|0.999909|0.999072|0.999009|0.999999|0.999033|0.999994|0.999996,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
14,9,9,0.999956,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(18,12,1.0000,1.0000,1.0000)|(22,15,1.0000,1.0000,1.0000)|(23,13,1.0000,1.0000,1.0000)|(21,17,1.0000,1.0000,1.0000)|(24,7,1.0000,1.0000,1.0000)|(23,10,1.0000,1.0000,1.0000)|(24,7,1.0000,1.0000,1.0000)|(24,7,1.0000,1.0000,0.9468)|(24,13,1.0000,1.0000,1.0000)",9|9|9|9|9|9|9|9|9,0.999881|0.997938|0.999722|0.999877|0.996450|0.999900|0.996450|0.996601|0.999680,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
16,5,5,0.999980,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(14,3,1.0000,1.0000,1.0000)|(11,16,0.9706,0.2334,0.0581)|(19,13,1.0000,1.0000,1.0000)|(6,16,0.8989,1.0000,1.0000)|(11,20,1.0000,0.4821,0.0000)|(4,15,1.0000,1.0000,1.0000)|(16,4,0.0930,0.7469,1.0000)|(11,22,0.9376,0.4950,0.0000)|(13,4,1.0000,1.0000,1.0000)",5|5|5|5|5|5|5|5|5,0.999891|0.999979|0.999958|0.999564|0.999745|0.998562|0.999436|0.999994|0.999931,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
17,7,7,0.999994,0|1|2|3|4|5|6|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(14,13,1.0000,1.0000,1.0000)|(18,2,1.0000,1.0000,1.0000)|(6,24,1.0000,1.0000,1.0000)|(14,13,1.0000,1.0000,1.0000)|(13,5,1.0000,1.0000,1.0000)|(14,13,1.0000,1.0000,1.0000)|(18,17,0.0000,0.0000,1.0000)|(20,4,1.0000,1.0000,1.0000)|(19,15,1.0000,1.0000,0.8690)",7|7|7|7|7|7|7|7|7,0.995655|0.999966|0.999990|0.995655|0.999979|0.995655|0.999987|0.999978|0.999107,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
18,8,8,0.999962,0|1|2|3|4|5|6|7|9,0|0|0|0|0|0|0|0|0,40,70848,"(14,27,1.0000,1.0000,1.0000)|(15,16,1.0000,1.0000,1.0000)|(23,26,1.0000,1.0000,1.0000)|(7,24,1.0000,1.0000,0.5183)|(9,23,1.0000,1.0000,0.5874)|(9,23,1.0000,1.0000,0.5891)|(6,29,1.0000,1.0000,0.5570)|(10,31,1.0000,1.0000,1.0000)|(6,28,1.0000,1.0000,0.5761)",8|8|8|8|8|8|8|8|8,0.974844|0.999976|0.999370|0.999746|0.995786|0.995787|0.999758|0.999634|0.999679,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
19,6,6,1.000000,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(25,18,1.0000,1.0000,1.0000)|(17,17,1.0000,1.0000,1.0000)|(1,6,1.0000,1.0000,1.0000)|(8,4,1.0000,1.0000,1.0000)|(25,19,1.0000,1.0000,1.0000)|(8,4,1.0000,1.0000,0.6418)|(2,12,1.0000,1.0000,1.0000)|(25,18,1.0000,1.0000,1.0000)|(25,18,1.0000,1.0000,1.0000)",6|6|6|6|6|6|6|6|6,0.999996|0.999999|0.999993|1.000000|0.999996|1.000000|0.999994|0.999996|0.999996,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
20,7,7,0.625584,0|1|2|3|4|5|6|8|9,0|0|0|0|0|1|0|0|0,40,70848,"(12,13,1.0000,1.0000,1.0000)|(11,13,1.0000,1.0000,0.9721)|(14,13,1.0000,1.0000,1.0000)|(27,17,1.0000,1.0000,1.0000)|(28,23,1.0000,0.0842,0.0000)|(19,12,0.1170,0.0000,0.0735)|(12,13,1.0000,1.0000,1.0000)|(24,16,1.0000,1.0000,1.0000)|(26,17,0.7883,1.0000,0.0000)",7|7|7|7|5|5|7|7|7,0.349913|0.602715|0.491506|0.722788|0.736873|0.982445|0.349913|0.901971|0.678440,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
21,0,0,0.999597,1|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(24,20,0.0000,0.0000,0.5860)|(14,18,0.5132,0.3349,0.0000)|(24,14,1.0000,0.8976,0.7189)|(4,16,0.0000,0.0000,0.5927)|(20,23,0.0000,0.0000,0.6865)|(21,21,0.0000,1.0000,0.0000)|(20,23,0.0000,0.0000,0.7175)|(24,19,0.0000,0.0000,0.4063)|(16,17,0.0000,0.0000,0.6536)",0|0|0|0|0|0|0|0|0,0.999935|0.996114|0.999871|0.999456|0.959333|0.991915|0.959906|0.999990|0.999221,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
22,4,4,0.976825,0|1|2|3|5|6|7|8|9,1|0|0|1|0|0|0|0|0,40,70848,"(17,23,1.0000,1.0000,1.0000)|(23,12,0.0000,1.0000,1.0000)|(21,17,1.0000,0.5039,0.0000)|(13,16,1.0000,0.9785,0.7864)|(17,20,1.0000,1.0000,1.0000)|(15,15,0.2630,0.9972,0.0000)|(12,11,0.8405,0.0000,0.0000)|(21,11,0.0000,1.0000,0.7724)|(12,13,0.9679,1.0000,1.0000)",0|0|2|3|0|4|4|4|4,0.984126|0.757925|0.703145|0.947196|0.479402|0.266905|0.779553|0.918121|0.881343,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
23,9,9,1.000000,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(10,19,1.0000,1.0000,1.0000)|(2,11,0.9942,0.8513,0.5592)|(2,10,1.0000,0.6988,0.7864)|(14,2,1.0000,1.0000,1.0000)|(3,9,1.0000,0.7977,0.6266)|(14,17,1.0000,0.1758,0.0000)|(27,16,1.0000,0.8669,1.0000)|(14,2,1.0000,0.7971,1.0000)|(16,4,1.0000,0.9979,1.0000)",9|9|9|9|9|9|9|9|9,1.000000|0.999999|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
24,5,5,0.994222,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(12,9,0.0000,0.9616,0.8595)|(18,18,0.1132,0.9931,0.9495)|(11,9,0.0000,1.0000,0.0000)|(18,18,0.5376,0.9545,0.5452)|(13,11,0.0000,0.2009,0.0000)|(19,21,0.0000,1.0000,0.0000)|(19,21,0.0000,0.9806,1.0000)|(11,13,0.4695,0.0000,0.0000)|(17,10,1.0000,0.0000,0.0957)",5|5|5|5|4|5|5|5|5,0.958723|0.999574|0.485757|0.999686|0.660273|0.998735|0.999894|0.950436|0.782129,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
25,2,2,0.895684,0|1|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(13,23,0.4054,1.0000,1.0000)|(13,25,1.0000,1.0000,0.0000)|(11,26,1.0000,1.0000,0.7585)|(14,20,1.0000,1.0000,1.0000)|(14,27,1.0000,0.9651,0.1036)|(14,27,0.1073,1.0000,1.0000)|(11,22,0.3732,1.0000,1.0000)|(12,23,1.0000,0.0000,0.0000)|(15,20,0.8487,0.0117,0.0000)",2|3|2|2|3|3|2|2|2,0.402270|0.592512|0.633920|0.765758|0.720865|0.702250|0.461023|0.946954|0.979707,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
26,4,4,0.999963,0|1|2|3|5|6|7|8|9,0|0|0|1|0|0|0|0|0,40,70848,"(20,13,1.0000,0.3878,1.0000)|(14,13,1.0000,0.4666,0.8002)|(9,12,1.0000,1.0000,1.0000)|(10,9,1.0000,0.8124,1.0000)|(22,15,1.0000,1.0000,1.0000)|(14,19,1.0000,0.0000,0.0000)|(14,13,1.0000,0.3554,1.0000)|(18,21,1.0000,0.3454,1.0000)|(10,9,0.9981,0.4106,1.0000)",4|4|4|4|4|4|4|4|4,0.999976|0.999989|0.999327|0.963279|0.999547|0.999395|0.999986|0.909667|0.989126,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
27,0,0,1.000000,1|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(16,18,1.0000,1.0000,1.0000)|(16,14,0.5809,1.0000,1.0000)|(12,15,1.0000,1.0000,1.0000)|(13,9,1.0000,0.9790,1.0000)|(13,16,0.0000,0.0000,0.5562)|(12,19,0.7150,1.0000,0.7647)|(12,15,0.0000,0.7973,1.0000)|(19,20,0.0000,0.0000,0.5346)|(15,14,1.0000,1.0000,1.0000)",0|0|0|0|0|0|0|0|0,0.999999|0.999999|0.999984|1.000000|0.999999|1.000000|0.999977|1.000000|0.999996,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
28,9,9,0.999637,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(15,14,0.6972,1.0000,1.0000)|(18,16,1.0000,0.8533,0.5873)|(15,14,0.7439,1.0000,1.0000)|(19,13,1.0000,1.0000,1.0000)|(1,15,0.6388,1.0000,1.0000)|(13,19,1.0000,1.0000,1.0000)|(13,20,0.8062,1.0000,0.2877)|(12,21,0.4152,1.0000,1.0000)|(16,13,0.8015,1.0000,0.0090)",1|9|1|9|9|9|9|9|9,0.718152|0.989898|0.741155|0.999908|0.993143|0.995438|0.981355|0.947234|0.985791,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
29,6,6,0.994992,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(26,28,1.0000,1.0000,1.0000)|(26,28,1.0000,1.0000,0.9768)|(10,19,1.0000,1.0000,0.0000)|(16,15,1.0000,1.0000,1.0000)|(14,16,1.0000,1.0000,1.0000)|(13,16,1.0000,1.0000,1.0000)|(12,8,1.0000,1.0000,1.0000)|(14,9,1.0000,1.0000,0.8581)|(22,25,1.0000,1.0000,0.9069)",6|6|6|6|6|6|6|6|6,0.969719|0.969476|0.987824|0.945175|0.999841|0.999874|0.989090|0.979395|0.974812,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
30,6,6,0.997366,0|1|2|3|4|5|7|8|9,0|0|0|1|0|0|0|0|0,40,70848,"(10,13,1.0000,1.0000,1.0000)|(14,11,0.8576,0.7480,0.6429)|(11,11,1.0000,0.7714,1.0000)|(12,14,0.7919,1.0000,1.0000)|(24,7,1.0000,0.9362,0.7654)|(10,13,0.9201,0.7006,0.4731)|(11,14,0.2047,0.9189,1.0000)|(11,11,0.6711,0.6377,0.8879)|(10,13,0.8955,0.7102,0.7507)",3|3|3|3|6|3|3|3|3,0.860555|0.859909|0.659361|0.985920|0.996795|0.441635|0.909433|0.709358|0.550587,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
31,5,5,1.000000,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(12,14,1.0000,1.0000,1.0000)|(12,14,1.0000,1.0000,1.0000)|(12,11,0.0000,0.4726,1.0000)|(16,10,0.0000,1.0000,0.5829)|(15,9,0.0000,0.8302,0.6831)|(12,15,0.0000,0.5457,1.0000)|(12,14,0.5767,1.0000,1.0000)|(11,14,0.6212,1.0000,1.0000)|(16,10,0.6104,1.0000,1.0000)",5|5|5|5|5|5|5|5|5,0.919403|0.919403|0.999997|0.910906|0.736316|0.999987|0.793698|0.826307|0.999504,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
32,4,4,0.999955,0|1|2|3|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(5,11,0.0000,0.0000,0.1151)|(17,15,0.0000,0.0000,0.2585)|(12,8,1.0000,0.0000,0.0000)|(6,5,0.2205,0.0000,0.0000)|(16,16,0.0000,0.0000,0.4691)|(10,19,0.0000,0.0000,0.7409)|(11,15,0.0000,0.0000,0.7183)|(10,15,0.0000,0.0000,0.7710)|(17,15,0.0000,0.0000,0.1569)",4|4|4|4|5|4|4|4|4,0.999955|0.709652|0.999174|0.999990|0.615865|0.999627|0.999913|0.999560|0.687444,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
33,5,5,0.997110,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(14,12,1.0000,1.0000,1.0000)|(13,23,1.0000,1.0000,1.0000)|(20,22,0.7422,1.0000,0.2598)|(18,23,1.0000,1.0000,1.0000)|(19,25,1.0000,1.0000,0.7589)|(16,20,0.0000,0.6751,1.0000)|(13,23,1.0000,1.0000,0.5985)|(13,18,0.0537,0.8822,1.0000)|(18,19,1.0000,1.0000,1.0000)",5|5|5|5|5|5|5|5|5,0.995389|0.959649|0.980935|0.971426|0.931905|0.821767|0.984443|0.996790|0.904862,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
34,9,9,1.000000,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(14,25,1.0000,1.0000,1.0000)|(8,14,1.0000,1.0000,1.0000)|(3,19,1.0000,1.0000,1.0000)|(8,20,1.0000,1.0000,1.0000)|(9,17,1.0000,1.0000,1.0000)|(7,18,1.0000,1.0000,1.0000)|(12,29,1.0000,1.0000,1.0000)|(8,14,1.0000,1.0000,1.0000)|(9,20,1.0000,1.0000,1.0000)",9|9|9|9|9|9|9|9|9,0.999999|0.999983|1.000000|1.000000|0.999997|0.999999|1.000000|0.999983|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
35,2,2,0.973726,0|1|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(23,26,0.0000,0.0000,0.0000)|(22,15,0.6999,1.0000,0.4784)|(14,5,1.0000,1.0000,1.0000)|(25,4,0.3619,1.0000,1.0000)|(26,13,0.0000,1.0000,1.0000)|(20,6,0.0000,1.0000,0.0793)|(29,14,0.4085,1.0000,0.3679)|(21,28,0.9747,0.9394,1.0000)|(29,17,0.5431,1.0000,0.4734)",2|2|2|2|2|2|2|2|2,0.868967|0.745470|0.996007|0.956487|0.835866|0.983656|0.781414|0.935706|0.971505,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
36,4,4,0.979035,0|1|2|3|5|6|7|8|9,0|0|0|0|1|0|0|0|0,40,70848,"(20,8,0.0010,1.0000,0.0000)|(20,8,0.0000,0.0564,1.0000)|(20,4,0.0000,0.0000,1.0000)|(20,8,0.0000,1.0000,0.0000)|(25,1,0.0000,0.0000,0.2940)|(16,18,0.0000,0.0397,1.0000)|(22,1,0.0000,0.0317,0.9499)|(25,1,1.0000,0.0000,0.0000)|(24,8,1.0000,0.0000,0.0000)",4|4|4|4|4|4|4|4|4,0.665835|0.957594|0.978608|0.665251|0.992192|0.998910|0.687883|0.989939|0.626736,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
37,1,1,0.703701,0|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|1,40,70848,"(20,9,0.2436,0.7337,1.0000)|(10,25,0.0000,0.0000,1.0000)|(14,20,0.0000,0.0000,0.0000)|(16,28,0.0000,0.0000,0.3308)|(11,17,0.2097,0.0124,0.6331)|(11,17,0.3369,0.1874,0.0000)|(13,27,0.0000,0.0000,1.0000)|(13,19,0.7499,0.3291,0.0000)|(14,20,0.5787,0.1757,0.0000)",1|1|9|1|9|9|1|9|9,0.992735|0.539798|0.963434|0.815313|0.495652|0.499362|0.715914|0.956820|0.976244,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
38,9,9,0.999964,0|1|2|3|4|5|6|7|8,0|0|0|0|0|0|0|0|0,40,70848,"(13,29,0.0000,0.0206,0.4469)|(19,26,0.0000,0.0000,0.5715)|(19,26,0.7111,0.4728,1.0000)|(18,30,0.0000,0.0000,0.3583)|(15,28,0.0000,0.0000,0.3626)|(14,27,0.0000,0.0000,0.4407)|(15,28,0.0000,0.0000,0.4138)|(23,31,0.0000,0.0000,0.4024)|(6,23,0.2194,0.9245,0.5606)",9|9|9|9|9|9|9|9|9,0.999871|0.999934|0.999959|0.999978|0.999828|0.999817|0.999828|0.999975|0.999957,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
39,5,5,1.000000,0|1|2|3|4|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(18,26,0.0000,0.0000,0.1295)|(22,19,0.0000,0.2750,0.0000)|(15,23,0.0000,0.2146,0.0000)|(8,19,1.0000,0.5726,1.0000)|(13,17,0.0000,0.1313,0.0000)|(15,24,0.0000,0.2159,0.0000)|(12,10,0.8653,0.1031,0.0000)|(15,24,0.0000,1.0000,0.3075)|(18,9,0.0000,0.4470,0.0000)",5|5|5|5|5|5|5|5|5,1.000000|0.999998|0.999997|0.999994|1.000000|0.999994|1.000000|0.999996|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
40,4,4,0.999835,0|1|2|3|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(12,20,0.0000,1.0000,1.0000)|(20,23,1.0000,1.0000,1.0000)|(19,13,1.0000,1.0000,1.0000)|(11,11,0.7517,0.0000,0.0000)|(15,12,0.0000,0.0000,1.0000)|(22,10,0.0000,0.0000,1.0000)|(19,13,0.0000,0.0000,1.0000)|(16,21,1.0000,1.0000,1.0000)|(22,10,0.0000,0.0000,1.0000)",4|4|4|4|4|4|4|4|4,0.994809|0.967746|0.999854|0.977682|0.987922|0.989399|0.999433|0.972599|0.989399,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
41,6,6,0.999998,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(19,21,1.0000,1.0000,1.0000)|(26,15,1.0000,1.0000,1.0000)|(20,2,1.0000,0.9331,0.1041)|(16,19,0.7229,1.0000,1.0000)|(16,21,1.0000,1.0000,1.0000)|(26,15,1.0000,1.0000,1.0000)|(17,20,1.0000,1.0000,0.6412)|(26,15,1.0000,1.0000,0.9892)|(17,25,1.0000,1.0000,1.0000)",6|6|6|6|6|6|6|6|6,0.999926|0.999853|0.999900|0.999921|0.999989|0.999853|0.999914|0.999854|0.999993,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
