image_id,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device
25,0,0,1.000000,untargeted,,0,0,0.999899,50,20400,18,6,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
26,9,9,0.999637,untargeted,,1,1,0.893385,50,20400,14,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
27,6,6,0.994992,untargeted,,0,6,0.743220,50,20400,20,21,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
28,6,6,0.997366,untargeted,,1,3,0.972614,0,400,13,10,0.245211,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
29,5,5,1.000000,untargeted,,1,3,0.811167,50,20400,17,11,0.000000,0.589813,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
30,4,4,0.999955,untargeted,,1,5,0.737124,50,20400,16,15,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
31,5,5,0.997110,untargeted,,1,2,0.675964,50,20400,24,8,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
32,9,9,1.000000,untargeted,,0,9,0.999973,50,20400,9,16,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
33,2,2,0.973726,untargeted,,1,3,0.954751,4,2000,17,10,1.000000,0.449146,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
34,4,4,0.979035,untargeted,,1,5,0.872832,50,20400,20,16,0.000000,0.116079,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
35,1,1,0.703701,untargeted,,1,9,0.958383,0,400,13,19,0.340351,0.000000,0.431094,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
36,9,9,0.999964,untargeted,,0,9,0.999783,50,20400,10,2,0.000000,0.000000,0.268234,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
37,5,5,1.000000,untargeted,,0,5,0.941341,50,20400,21,13,0.000000,0.000000,0.842083,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
38,4,4,0.999835,untargeted,,0,4,0.683708,50,20400,17,10,0.000000,0.000000,0.353018,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
39,6,6,0.999998,untargeted,,0,6,0.997423,50,20400,18,13,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
40,5,5,0.999742,untargeted,,0,5,0.552323,50,20400,21,16,0.369117,0.962476,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
41,6,6,0.999999,untargeted,,0,6,0.996213,50,20400,17,10,1.000000,0.916909,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
42,0,0,1.000000,untargeted,,0,0,0.999998,50,20400,19,26,1.000000,1.000000,0.889419,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
43,9,9,0.999995,untargeted,,0,9,0.999939,50,20400,6,18,0.525443,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
44,3,3,0.998106,untargeted,,1,6,0.359756,50,20400,16,1,1.000000,0.801687,0.783499,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
45,9,9,0.444002,untargeted,,1,0,0.919905,0,400,7,19,1.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
46,7,7,0.999804,untargeted,,0,7,0.975410,50,20400,9,7,0.534062,0.000000,0.266576,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
47,6,6,0.999343,untargeted,,1,2,0.966281,40,16400,16,6,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
48,9,9,0.999798,untargeted,,0,9,0.984098,50,20400,23,20,1.000000,1.000000,0.733449,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
49,8,8,0.999995,untargeted,,0,8,0.975394,50,20400,14,27,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
50,3,3,0.995543,untargeted,,1,5,0.961777,18,7600,8,10,0.275799,0.916711,0.861865,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
51,8,8,0.999917,untargeted,,1,0,0.739333,50,20400,15,23,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
52,8,8,1.000000,untargeted,,0,8,0.977199,50,20400,10,9,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
53,7,7,0.999991,untargeted,,0,7,0.979508,50,20400,13,14,0.000000,0.000000,0.467514,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
54,4,4,0.540060,untargeted,,1,5,0.998560,0,400,12,13,0.232347,0.057032,0.506439,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
55,7,7,0.999778,untargeted,,0,7,0.990079,50,20400,21,8,0.000000,0.000000,0.429176,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
56,6,6,0.999950,untargeted,,1,3,0.997746,0,400,19,9,0.639190,0.678420,0.914917,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
57,3,3,0.955572,untargeted,,1,1,0.933449,50,20400,13,14,1.000000,0.869795,0.797351,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
58,6,6,0.999982,untargeted,,1,2,0.934993,50,20400,13,10,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
59,2,2,1.000000,untargeted,,0,2,0.999933,50,20400,15,11,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
60,1,1,0.999272,untargeted,,0,1,0.981416,50,20400,17,22,1.000000,0.886050,0.680746,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
61,2,2,0.999307,untargeted,,0,2,0.902602,50,20400,13,8,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
62,3,3,0.944819,untargeted,,1,5,0.952149,0,400,12,21,0.000000,0.014039,0.641515,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
63,7,7,0.856560,untargeted,,1,4,0.858802,50,20400,19,2,1.000000,0.986801,0.702843,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
64,2,2,0.788694,untargeted,,1,3,0.818565,0,400,29,18,0.185809,0.000000,0.603586,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
65,6,6,0.999607,untargeted,,1,3,0.995253,14,6000,19,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
66,8,8,0.999929,untargeted,,1,0,0.979381,13,5600,17,24,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
67,8,8,0.999638,untargeted,,1,0,0.951345,0,400,22,24,0.000000,0.104930,0.711659,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
68,0,0,0.888362,untargeted,,1,9,0.958680,25,10400,14,26,0.790564,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
69,2,2,0.999998,untargeted,,0,2,0.999607,50,20400,10,9,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
70,9,9,0.999992,untargeted,,0,9,0.954847,50,20400,13,29,0.000000,0.000000,0.834035,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
71,3,3,1.000000,untargeted,,0,3,0.999349,50,20400,12,15,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
72,8,8,0.999987,untargeted,,1,0,0.732950,50,20400,16,21,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
73,8,8,1.000000,untargeted,,0,8,0.947228,50,20400,17,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
74,1,1,0.974184,untargeted,,1,9,0.954300,6,2800,14,23,0.410227,1.000000,0.625301,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
75,1,1,0.999991,untargeted,,0,1,0.996891,50,20400,19,9,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
76,7,7,1.000000,untargeted,,0,7,0.998914,50,20400,6,11,0.000000,0.000000,0.953705,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
77,2,2,0.985258,untargeted,,1,5,0.963622,0,400,10,9,0.000000,0.000000,0.178163,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
78,5,5,0.999958,untargeted,,1,7,0.675950,50,20400,15,14,0.734272,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
79,2,2,0.998301,untargeted,,1,0,0.799262,50,20400,12,17,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
80,8,8,0.999997,untargeted,,0,8,0.998756,50,20400,19,29,0.963414,0.792494,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
81,9,9,0.999986,untargeted,,0,9,0.998776,50,20400,18,29,1.000000,0.033415,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
82,0,0,0.999996,untargeted,,0,0,0.997636,50,20400,21,21,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
83,3,3,0.999998,untargeted,,0,3,0.998669,50,20400,17,17,1.000000,0.507707,0.854806,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
84,8,8,1.000000,untargeted,,0,8,0.999904,50,20400,13,29,1.000000,0.950314,0.958820,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
85,6,6,1.000000,untargeted,,0,6,0.999820,50,20400,17,1,0.000000,0.000000,0.965909,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
86,4,4,0.999982,untargeted,,0,4,0.633255,50,20400,17,11,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
87,6,6,0.661955,untargeted,,1,3,0.944818,8,3600,20,17,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
88,6,6,0.998848,untargeted,,1,4,0.591859,50,20400,9,12,0.000000,0.000000,0.528514,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
89,0,0,0.919581,untargeted,,1,2,0.966501,34,14000,13,7,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
90,0,0,0.999970,untargeted,,0,0,0.997092,50,20400,11,1,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
91,7,7,1.000000,untargeted,,0,7,0.996598,50,20400,13,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
92,4,4,0.999995,untargeted,,0,4,0.961318,50,20400,14,14,0.000000,0.000000,0.516804,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
93,5,5,0.885370,untargeted,,1,4,0.973158,12,5200,16,13,0.571860,0.013200,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
94,6,6,1.000000,untargeted,,0,6,0.998654,50,20400,13,15,0.000000,0.000000,0.029911,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
95,3,3,0.999999,untargeted,,0,3,0.997932,50,20400,6,12,0.000000,0.000000,0.188505,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
96,1,1,0.999978,untargeted,,0,1,0.998884,50,20400,11,5,1.000000,0.873038,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
97,1,1,0.999847,untargeted,,0,1,0.991157,50,20400,19,7,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
98,3,3,0.997186,untargeted,,1,2,0.770860,50,20400,8,1,1.000000,0.959898,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
99,6,6,1.000000,untargeted,,0,6,0.999991,50,20400,7,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
100,8,8,0.998883,untargeted,,0,8,0.914149,50,20400,21,15,0.000000,0.000000,0.739774,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
101,7,7,1.000000,untargeted,,0,7,0.976336,50,20400,18,16,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
102,4,4,0.999793,untargeted,,1,5,0.689160,50,20400,23,12,0.320122,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
103,0,0,0.999937,untargeted,,0,0,0.825975,50,20400,10,13,0.969768,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
104,6,6,0.999765,untargeted,,0,6,0.827346,50,20400,24,2,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
105,2,2,0.999974,untargeted,,0,2,0.978297,50,20400,16,12,0.033271,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
106,1,1,0.998823,untargeted,,0,1,0.947841,50,20400,19,15,0.000000,0.000000,0.546306,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
107,3,3,0.999940,untargeted,,0,3,0.529876,50,20400,15,15,1.000000,0.000000,0.120494,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
108,0,0,0.999998,untargeted,,0,0,0.999523,50,20400,15,17,1.000000,1.000000,0.945702,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
109,4,4,0.999942,untargeted,,0,4,0.970133,50,20400,7,16,0.865673,0.936966,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
110,7,7,0.993052,untargeted,,0,7,0.703179,50,20400,26,7,1.000000,0.996573,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
111,8,8,0.999997,untargeted,,1,0,0.914053,50,20400,7,14,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
112,3,3,0.983711,untargeted,,1,0,0.913707,50,20400,6,13,0.797997,0.367968,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
113,1,1,0.998780,untargeted,,0,1,0.855911,50,20400,12,25,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
114,2,2,0.999999,untargeted,,0,2,0.999769,50,20400,17,3,0.244774,0.328685,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
115,8,8,0.999974,untargeted,,1,0,0.943186,42,17200,22,15,1.000000,1.000000,0.972410,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
116,8,8,1.000000,untargeted,,0,8,0.942707,50,20400,21,18,0.034835,0.045244,0.599807,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
117,3,3,0.999776,untargeted,,0,3,0.770667,50,20400,16,8,0.000000,0.000000,0.549538,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
118,2,2,0.999977,untargeted,,0,2,0.626505,50,20400,11,18,0.006500,0.005508,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
119,4,4,0.999995,untargeted,,0,4,0.821830,50,20400,15,15,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
120,1,1,0.999994,untargeted,,0,1,0.999702,50,20400,17,3,0.000000,0.000000,0.863922,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
121,8,8,0.999999,untargeted,,0,8,0.887615,50,20400,21,21,1.000000,1.000000,0.684637,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
122,9,9,0.999993,untargeted,,0,9,0.999800,50,20400,21,10,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
123,1,1,0.996430,untargeted,,0,1,0.667705,50,20400,11,21,0.553083,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
124,2,2,1.000000,untargeted,,0,2,0.998290,50,20400,24,15,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
125,9,9,1.000000,untargeted,,0,9,0.999990,50,20400,16,5,0.000000,0.000000,0.825338,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
126,7,7,0.999715,untargeted,,0,7,0.900029,50,20400,10,8,0.000000,0.000000,0.200902,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
127,2,2,0.999988,untargeted,,0,2,0.853880,50,20400,22,13,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
128,9,9,0.797867,untargeted,,1,1,0.867085,50,20400,13,20,0.003409,0.000000,0.531490,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
129,6,6,0.999765,untargeted,,1,3,0.597656,50,20400,17,13,0.000000,0.000000,0.571717,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
130,5,5,0.996672,untargeted,,1,2,0.580765,50,20400,10,31,1.000000,0.744059,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
131,6,6,0.999998,untargeted,,0,6,0.997150,50,20400,19,3,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
132,3,3,0.571745,untargeted,,1,5,0.970994,0,400,17,15,0.932456,0.870971,0.918539,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
133,8,8,0.999997,untargeted,,0,8,0.997171,50,20400,13,22,0.994192,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
134,7,7,0.978771,untargeted,,1,2,0.884017,2,1200,14,13,0.951635,0.859938,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
135,6,6,0.999997,untargeted,,0,6,0.998800,50,20400,11,2,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
136,5,5,0.996062,untargeted,,1,3,0.958031,21,8800,17,13,0.000000,0.077814,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
137,2,2,0.999970,untargeted,,0,2,0.837375,50,20400,8,12,0.000000,0.000000,0.792803,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
138,8,8,0.995941,untargeted,,1,0,0.966155,12,5200,20,21,1.000000,0.896779,0.357215,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
139,9,9,0.981652,untargeted,,1,1,0.815934,50,20400,10,13,0.000000,0.000000,0.277790,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
140,6,6,0.999931,untargeted,,1,3,0.678567,50,20400,11,14,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
141,0,0,0.999998,untargeted,,0,0,0.999799,50,20400,12,6,0.807149,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
142,0,0,0.999996,untargeted,,0,0,0.899136,50,20400,21,12,0.671217,1.000000,0.532821,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
143,5,5,0.999974,untargeted,,0,5,0.932881,50,20400,17,11,0.853611,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
144,2,2,0.999697,untargeted,,0,2,0.965757,50,20400,18,13,0.172800,0.713513,0.040060,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
145,9,9,0.999175,untargeted,,0,9,0.982774,50,20400,27,19,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
146,4,4,0.999998,untargeted,,0,4,0.999960,50,20400,19,16,0.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
147,2,2,0.979981,untargeted,,1,0,0.834320,50,20400,13,10,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
148,1,1,0.995086,untargeted,,0,1,0.900055,50,20400,7,4,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
149,6,6,0.953178,untargeted,,1,3,0.816760,50,20400,16,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
150,6,6,0.999473,untargeted,,0,6,0.715101,50,20400,23,14,0.000000,0.000000,0.704352,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
151,8,8,0.639497,untargeted,,1,0,0.958048,0,400,14,15,0.369823,0.000000,0.747672,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
152,4,4,0.848793,untargeted,,1,2,0.981892,0,400,20,19,0.951267,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
153,8,8,0.999819,untargeted,,1,2,0.903567,50,20400,22,9,0.000000,0.000000,0.415904,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
154,4,4,1.000000,untargeted,,1,2,0.970013,6,2800,18,15,0.762391,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
155,5,5,0.999998,untargeted,,0,5,0.976429,50,20400,15,20,1.000000,0.881629,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
156,9,9,0.999984,untargeted,,0,9,0.998564,50,20400,18,15,0.031782,0.000000,0.460779,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
157,9,9,1.000000,untargeted,,0,9,0.999371,50,20400,21,6,0.000000,0.000000,0.922262,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
158,8,8,0.999620,untargeted,,0,8,0.833483,50,20400,10,25,1.000000,0.883273,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
159,9,9,0.999223,untargeted,,0,9,0.992450,50,20400,12,24,0.923522,0.517803,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
160,9,9,1.000000,untargeted,,0,9,0.999985,50,20400,23,14,1.000000,1.000000,0.862990,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
161,3,3,0.997608,untargeted,,1,5,0.951940,0,400,22,16,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
162,7,7,1.000000,untargeted,,0,7,0.999481,50,20400,17,13,1.000000,1.000000,0.960536,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
163,0,0,0.999995,untargeted,,0,0,0.996398,50,20400,7,10,0.612410,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
164,0,0,0.993138,untargeted,,0,0,0.741406,50,20400,19,15,0.000000,0.136748,0.793141,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
165,5,5,0.999988,untargeted,,0,5,0.994863,50,20400,12,8,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
166,2,2,0.999999,untargeted,,0,2,0.999857,50,20400,25,17,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
167,3,3,0.998018,untargeted,,1,5,0.973802,4,2000,26,12,0.000000,0.209327,0.827901,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
168,8,8,0.999999,untargeted,,0,8,0.998692,50,20400,15,7,0.000000,0.000000,0.574880,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
169,6,6,1.000000,untargeted,,0,6,0.982542,50,20400,15,7,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
